응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,F2-1_추천절차적절,F2-2_지원충분성,F2-3_어려운점,F2-4_내년필요지원,F2-5_바라는점
1,2026-08-28 14:43:00,대한노인회 고성군지회(노인맞춤돌봄서비스),4,4,대한노인회 고성군지회(노인맞춤돌봄서비스),1,1,2,1,1,1,5,4,2,담당자 응대가 친절하고 도움이 되었습니다.
2,2026-10-25 11:14:00,대한노인회 고성군지회(노인맞춤돌봄서비스),5,4,대한노인회 고성군지회(노인맞춤돌봄서비스),5,4,3,2,1,4,2,4,5,교육 주제가 다양해졌으면 합니다.
3,2026-08-22 09:37:00,해월노인복지센터,3,4,해월노인복지센터,1,5,2,3,1,5,5,1,4,지속적인 지원을 부탁드립니다.
4,2026-03-18 10:04:00,해월노인복지센터,2,4,해월노인복지센터,3,1,2,3,5,3,5,3,2,온라인 교육 병행을 희망합니다.
5,2026-10-02 09:44:00,해월노인복지센터,4,2,해월노인복지센터,4,5,3,5,3,1,3,2,5,지속적인 지원을 부탁드립니다.
6,2026-07-20 15:27:00,사랑원노인지원센터,5,3,사랑원노인지원센터,3,2,1,4,3,4,2,4,3,담당자 응대가 친절하고 도움이 되었습니다.
7,2026-11-01 09:07:00,사랑원노인지원센터,4,1,사랑원노인지원센터,4,2,3,3,4,5,3,3,5,담당자 응대가 친절하고 도움이 되었습니다.
8,2026-08-22 10:52:00,산청복음노인통합지원센터,4,2,산청복음노인통합지원센터,5,2,2,4,3,5,5,4,1,현장 의견 반영이 더 필요합니다.
9,2026-04-15 09:29:00,거제사랑노인복지센터,5,1,거제사랑노인복지센터,2,5,3,3,4,4,1,2,1,행정 절차 간소화가 필요합니다.
10,2026-07-18 13:05:00,보현행원노인통합지원센터,3,2,보현행원노인통합지원센터,2,3,3,2,5,2,2,4,2,종사자 처우 개선이 시급합니다.
11,2026-10-23 14:55:00,보현행원노인통합지원센터,4,4,보현행원노인통합지원센터,5,5,1,2,1,2,4,3,4,행정 절차 간소화가 필요합니다.
12,2026-10-23 16:06:00,보현행원노인통합지원센터,1,3,보현행원노인통합지원센터,5,5,2,1,5,4,1,5,5,행정 절차 간소화가 필요합니다.
13,2026-03-16 10:07:00,미타재가복지센터,4,1,미타재가복지센터,1,3,4,3,3,4,1,1,5,종사자 처우 개선이 시급합니다.
14,2026-03-25 16:23:00,거창노인통합지원센터,3,2,거창노인통합지원센터,3,4,2,5,5,3,2,2,4,온라인 교육 병행을 희망합니다.
15,2026-11-22 16:29:00,거창인애노인통합지원센터,1,1,거창인애노인통합지원센터,4,5,5,1,2,3,2,2,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
16,2026-05-03 17:53:00,거창인애노인통합지원센터,1,2,거창인애노인통합지원센터,2,4,4,5,5,1,5,4,4,현장 방문 횟수가 늘어나면 좋겠습니다.
17,2026-03-05 17:27:00,나누리노인통합지원센터,3,2,나누리노인통합지원센터,5,2,5,3,4,1,4,3,4,종사자 처우 개선이 시급합니다.
18,2026-05-04 09:53:00,나누리노인통합지원센터,1,2,나누리노인통합지원센터,4,1,5,1,4,1,2,4,5,현장 의견 반영이 더 필요합니다.
19,2026-11-21 17:48:00,나누리노인통합지원센터,4,4,나누리노인통합지원센터,5,2,2,1,4,1,5,5,2,행정 절차 간소화가 필요합니다.
20,2026-07-20 11:43:00,동진노인통합지원센터,4,4,동진노인통합지원센터,3,5,4,4,2,5,4,3,1,온라인 교육 병행을 희망합니다.
21,2026-07-22 13:51:00,동진노인통합지원센터,3,4,동진노인통합지원센터,3,4,2,4,4,4,3,3,1,실무 매뉴얼 보완이 필요합니다.
22,2026-11-06 17:06:00,동진노인통합지원센터,4,3,동진노인통합지원센터,4,4,5,3,1,1,2,3,3,담당자 응대가 친절하고 도움이 되었습니다.
23,2026-03-06 15:11:00,김해시종합사회복지관,4,2,김해시종합사회복지관,1,2,2,4,3,3,2,3,4,교육 주제가 다양해졌으면 합니다.
24,2026-03-20 09:29:00,산청해민노인통합지원센터,3,1,산청해민노인통합지원센터,4,2,3,1,4,5,3,2,2,행정 절차 간소화가 필요합니다.
25,2026-09-24 16:23:00,사단법인 대한노인회 함양군지회,1,2,사단법인 대한노인회 함양군지회,3,5,2,4,5,5,1,1,3,교육 주제가 다양해졌으면 합니다.
26,2026-09-24 15:38:00,사단법인 대한노인회 함양군지회,2,2,사단법인 대한노인회 함양군지회,2,4,4,2,2,3,2,2,5,지속적인 지원을 부탁드립니다.
27,2026-09-06 17:14:00,남양양로원,4,2,남양양로원,2,4,2,2,3,5,2,1,1,교육 주제가 다양해졌으면 합니다.
28,2026-06-23 16:52:00,남양양로원,1,1,남양양로원,5,5,3,2,2,3,1,2,4,현장 의견 반영이 더 필요합니다.
29,2026-07-07 12:14:00,남양양로원,2,1,남양양로원,5,5,2,5,3,3,4,1,2,지속적인 지원을 부탁드립니다.
30,2026-10-18 09:17:00,진해서부노인종합복지관,4,2,진해서부노인종합복지관,4,1,5,5,3,1,4,4,5,현장 방문 횟수가 늘어나면 좋겠습니다.
31,2026-11-01 15:18:00,진해서부노인종합복지관,3,3,진해서부노인종합복지관,3,3,2,1,3,4,5,2,4,실무 매뉴얼 보완이 필요합니다.
32,2026-05-14 13:01:00,진해서부노인종합복지관,3,2,진해서부노인종합복지관,2,4,2,5,4,5,5,3,5,교육 주제가 다양해졌으면 합니다.
33,2026-05-17 17:13:00,정현사회적협동조합,5,1,정현사회적협동조합,2,5,4,5,5,4,5,2,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
34,2026-08-01 12:10:00,정현사회적협동조합,1,3,정현사회적협동조합,5,4,3,3,1,1,2,3,1,현장 방문 횟수가 늘어나면 좋겠습니다.
35,2026-09-24 17:25:00,명진노인통합지원센터,1,4,명진노인통합지원센터,4,2,3,4,4,4,1,3,5,실무 매뉴얼 보완이 필요합니다.
36,2026-11-14 12:09:00,명진노인통합지원센터,5,3,명진노인통합지원센터,5,1,1,2,5,3,2,3,2,온라인 교육 병행을 희망합니다.
37,2026-05-05 10:20:00,밀양노인통합지원센터,3,4,밀양노인통합지원센터,2,4,3,2,5,4,2,5,5,행정 절차 간소화가 필요합니다.
38,2026-08-20 13:00:00,밀양노인통합지원센터,2,3,밀양노인통합지원센터,3,3,4,3,4,3,2,1,4,현장 의견 반영이 더 필요합니다.
39,2026-10-07 09:03:00,(사)대한노인회함안군지회,2,1,(사)대한노인회함안군지회,1,2,4,2,4,4,2,2,3,현장 방문 횟수가 늘어나면 좋겠습니다.
40,2026-10-07 11:10:00,(사)대한노인회함안군지회,2,3,(사)대한노인회함안군지회,5,4,3,5,2,5,1,4,4,현장 의견 반영이 더 필요합니다.
41,2026-04-19 10:02:00,(사)대한노인회함안군지회,5,1,(사)대한노인회함안군지회,3,5,5,4,4,1,4,2,2,현장 방문 횟수가 늘어나면 좋겠습니다.
42,2026-07-25 16:49:00,사천건양주야간보호센터,5,2,사천건양주야간보호센터,4,5,3,5,3,3,1,4,4,현장 의견 반영이 더 필요합니다.
43,2026-03-20 12:31:00,사천건양주야간보호센터,1,4,사천건양주야간보호센터,3,3,5,1,1,3,3,4,2,행정 절차 간소화가 필요합니다.
44,2026-09-19 13:16:00,밀양시자원봉사단체협의회,4,2,밀양시자원봉사단체협의회,2,5,4,5,1,3,2,5,5,현장 의견 반영이 더 필요합니다.
45,2026-08-13 15:22:00,밀양시자원봉사단체협의회,1,2,밀양시자원봉사단체협의회,4,5,3,4,4,1,5,5,5,종사자 처우 개선이 시급합니다.
46,2026-10-09 12:52:00,생명의전화노인통합지원센터,3,3,생명의전화노인통합지원센터,1,5,4,5,3,5,2,5,1,현장 방문 횟수가 늘어나면 좋겠습니다.
47,2026-08-02 11:15:00,경남고용복지센터,1,4,경남고용복지센터,3,4,5,2,3,2,3,2,3,행정 절차 간소화가 필요합니다.
48,2026-09-20 14:11:00,진주노인통합지원센터,1,2,진주노인통합지원센터,1,3,4,1,2,5,4,1,1,종사자 처우 개선이 시급합니다.
49,2026-11-02 12:21:00,진주노인통합지원센터,3,4,진주노인통합지원센터,5,3,4,4,1,3,5,1,2,온라인 교육 병행을 희망합니다.
50,2026-09-09 16:17:00,진주노인통합지원센터,4,4,진주노인통합지원센터,5,1,1,4,1,2,2,1,3,현장 의견 반영이 더 필요합니다.
51,2026-09-23 14:22:00,화방재가복지센터,5,4,화방재가복지센터,5,1,5,1,1,3,1,3,5,실무 매뉴얼 보완이 필요합니다.
52,2026-06-07 14:08:00,창원도우누리노인통합재가센터,5,4,창원도우누리노인통합재가센터,4,1,1,2,5,3,3,1,1,담당자 응대가 친절하고 도움이 되었습니다.
53,2026-08-26 16:12:00,창녕군새누리노인종합센터,5,1,창녕군새누리노인종합센터,1,1,1,2,3,3,4,1,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
54,2026-08-18 09:24:00,창녕군새누리노인종합센터,1,3,창녕군새누리노인종합센터,5,5,5,1,2,4,3,1,3,지속적인 지원을 부탁드립니다.
55,2026-04-19 10:42:00,창녕군새누리노인종합센터,5,2,창녕군새누리노인종합센터,5,4,5,4,1,5,4,4,1,온라인 교육 병행을 희망합니다.
56,2026-11-01 13:39:00,성요셉소규모노인종합센터,2,2,성요셉소규모노인종합센터,2,5,3,1,4,1,5,4,1,담당자 응대가 친절하고 도움이 되었습니다.
57,2026-06-07 11:04:00,사회복지법인신생원양산재가노인복지센터,2,3,사회복지법인신생원양산재가노인복지센터,5,3,2,2,1,5,3,1,1,교육 주제가 다양해졌으면 합니다.
58,2026-10-28 10:59:00,사회복지법인신생원양산재가노인복지센터,4,4,사회복지법인신생원양산재가노인복지센터,3,5,5,3,4,2,4,3,5,현장 의견 반영이 더 필요합니다.
59,2026-09-13 10:04:00,사회복지법인신생원양산재가노인복지센터,2,4,사회복지법인신생원양산재가노인복지센터,2,1,2,1,4,5,3,1,4,지속적인 지원을 부탁드립니다.
60,2026-04-06 10:07:00,공덕의집노인통합지원센터,5,4,공덕의집노인통합지원센터,1,1,5,1,1,2,2,5,5,교육 주제가 다양해졌으면 합니다.
61,2026-06-02 11:20:00,공덕의집노인통합지원센터,3,4,공덕의집노인통합지원센터,5,2,1,4,2,2,1,3,3,실무 매뉴얼 보완이 필요합니다.
62,2026-11-22 17:44:00,의령노인통합지원센터,5,1,의령노인통합지원센터,1,5,4,1,5,4,5,1,3,지속적인 지원을 부탁드립니다.
63,2026-03-12 11:05:00,의령노인통합지원센터,1,2,의령노인통합지원센터,1,2,4,1,5,1,4,3,1,종사자 처우 개선이 시급합니다.
64,2026-07-09 15:53:00,사회적협동조합 합천종합복지공동체,1,1,사회적협동조합 합천종합복지공동체,5,4,1,3,1,5,2,3,4,실무 매뉴얼 보완이 필요합니다.
65,2026-07-09 14:01:00,통영노인통합지원센터,4,1,통영노인통합지원센터,5,3,5,1,4,2,4,3,3,현장 방문 횟수가 늘어나면 좋겠습니다.
66,2026-09-20 17:14:00,통영노인통합지원센터,5,3,통영노인통합지원센터,5,1,4,3,2,5,3,1,3,담당자 응대가 친절하고 도움이 되었습니다.
67,2026-03-10 14:29:00,화방남해노인통합지원센터,4,4,화방남해노인통합지원센터,2,3,2,5,3,4,4,4,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
68,2026-08-07 09:06:00,화방남해노인통합지원센터,4,3,화방남해노인통합지원센터,4,2,5,4,1,4,3,4,5,지속적인 지원을 부탁드립니다.
69,2026-03-05 15:08:00,화방남해노인통합지원센터,5,4,화방남해노인통합지원센터,4,1,1,4,4,2,5,4,4,현장 의견 반영이 더 필요합니다.
70,2026-07-20 17:08:00,하청교회 행복늘푸른대학,3,4,하청교회 행복늘푸른대학,5,5,4,4,1,1,4,3,4,담당자 응대가 친절하고 도움이 되었습니다.
71,2026-10-27 13:02:00,사회적협동조합 노인세상,2,1,사회적협동조합 노인세상,3,4,2,2,1,2,3,2,3,담당자 응대가 친절하고 도움이 되었습니다.
72,2026-06-11 11:21:00,사회적협동조합 노인세상,4,1,사회적협동조합 노인세상,1,5,3,5,5,3,5,4,1,온라인 교육 병행을 희망합니다.
73,2026-04-12 09:21:00,거제노인통합지원센터,2,1,거제노인통합지원센터,3,2,3,2,1,2,1,5,3,지속적인 지원을 부탁드립니다.
74,2026-03-11 12:18:00,코끼리행복복지센터,2,2,코끼리행복복지센터,2,2,1,1,5,1,2,5,3,행정 절차 간소화가 필요합니다.
75,2026-06-24 10:50:00,코끼리행복복지센터,3,1,코끼리행복복지센터,3,1,5,4,5,2,3,2,4,온라인 교육 병행을 희망합니다.
76,2026-11-05 13:02:00,효능원노인통합지원센터,2,1,효능원노인통합지원센터,1,4,5,2,2,1,2,4,5,실무 매뉴얼 보완이 필요합니다.
77,2026-11-03 17:06:00,효능원노인통합지원센터,1,1,효능원노인통합지원센터,5,4,2,3,2,4,3,4,5,실무 매뉴얼 보완이 필요합니다.
78,2026-09-26 12:43:00,효능원노인통합지원센터,3,3,효능원노인통합지원센터,5,4,4,3,3,2,4,2,3,종사자 처우 개선이 시급합니다.
79,2026-11-05 12:47:00,통영시종합사회복지관,4,2,통영시종합사회복지관,3,3,3,2,2,3,2,3,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
80,2026-10-17 17:48:00,통영시종합사회복지관,2,1,통영시종합사회복지관,3,1,2,3,3,3,2,5,5,담당자 응대가 친절하고 도움이 되었습니다.
81,2026-11-16 11:00:00,통영시종합사회복지관,3,4,통영시종합사회복지관,4,4,4,4,4,1,5,2,5,종사자 처우 개선이 시급합니다.
82,2026-07-11 17:28:00,마산회원노인종합복지관,1,2,마산회원노인종합복지관,1,4,3,2,1,2,4,5,3,실무 매뉴얼 보완이 필요합니다.
83,2026-06-04 14:49:00,마산회원노인종합복지관,2,4,마산회원노인종합복지관,2,1,1,4,3,1,3,3,2,현장 의견 반영이 더 필요합니다.
